Message,Label
Immediate action required: confirm your credentials at https://notion.so/login?id=20104 to prevent account suspension.,Attack
I found something alarming about your account — please confirm your banking details at https://notion.so/auth?id=40539.,Attack
"Quick FYI: the server maintenance is tomorrow night, expect brief downtime.",No Attack
Please update the spreadsheet with your holiday dates when you get a chance.,No Attack
Can we postpone the meeting to Thursday? I have a conflict.,No Attack
Urgent: There was a policy change affecting your account. Please confirm your SSN and DOB at https://secure-login.net/auth?id=64997,Attack
"Huge congratulations! You've been selected for an exclusive reward. Click https://notion.so/verify?id=21300 and provide your details to claim it.

Thanks, Admin",Attack
Reminder: the team meeting is at 10 AM. Agenda: confidential roadmap status and next steps.,No Attack
Immediate action required: confirm your credentials at https://example...com/verify?id=78233 to prevent account suspension...,Attack
"Let's schedule 1:1 next week to discuss career goals and development.

Best,
Isha Please advise.",No Attack
Can we postpone the meeting to Thursday? I have a conflict.,No Attack
"Please read: I can't believe what happened to your colleague! You must be devastated. Can we chat? I need some information about your access.

Thanks, Admin",Attack
Urgent: There was a policy change affecting your account. Please confirm your SSN and DOB at https://notion.so/claim?id=44664 Thanks in advance.,Attack
I found something alarming about your account — please confirm your banking details at https://example.com/login?id=91229.,Attack
Let's schedule 1:1 next week to discuss career goals and development.,No Attack
Great job on the presentation — the client loved it. Can you send the slides?,No Attack
Thanks for your help earlier — the fix worked perfectly. Ping me if you have questions.,No Attack
Thanks for the great work on the financial forecast. Let's celebrate at lunch on Friday. Appreciate it.,No Attack
"You've been pre-approved for an exclusive offer. I need your details to process it at https://acme-corp.com/login?id=25448.

Thanks, Team",Attack
Your recent project was outstanding! Could you send me the full report (including attachments)? Ping me if you have questions.,Attack
There was a policy change affecting your account. Please confirm your SSN and DOB at https://secure-login.net/update?id=72963,Attack
"Please find attached the notes from today's call. Let me know if I missed anything.

Best,
Morgan",No Attack
Let's schedule 1:1 next week to discuss career goals and development.,No Attack
I'm impressed with your recent work — would you like to present it to the team?,No Attack
The boss is furious about the confidential roadmap. Can you send me the latest files so I can fix this before the meeting?,Attack
Please find attached the notes from today's call. Let me know if I missed anything.,No Attack
"Thanks for the great work on the security audit. Let's celebrate at lunch on Friday.

Best,
Anita Let me know if that works.",No Attack
Appreciate your input on the doc — minor edits only. Can you confirm?,No Attack
Immediate action required: confirm your credentials at https://secure-login.net/auth?id=12719 to prevent account suspension.,Attack
"Can you help me test the staging build later today? I need another pair of eyes.

Best,
Cameron",No Attack
"Hey, I'm new here and everyone is so cold. Could you share your access so I can finish this task?",Attack
I found something alarming about your account — please confirm your banking details at https://notion.so/reset?id=80592.,Attack
Appreciate your input on the doc — minor edits only.,No Attack
I'm really worried about your account — we saw suspicious activity. Please verify your credentials immediately here: https://safe-verify.org/secure?id=67963,Attack
Could you share the link to the document you mentioned? I couldn't find it.,No Attack
"Thanks for your help earlier — the fix worked perfectly.

Best,
Riley",No Attack
I found something alarming about your account — please confirm your banking details at https://secure-login.net/login?id=27188.,Attack
"I've been assigned to audit the budget report; share the files and I'll mark them confidential.

Thanks, Robin",Attack
